Job Title,Publish Date,Closing Date,Position Level,Year Experience,Number of Hiring,Salary Range (Min),Salary Range (Max),Gender,Age,Term,Job Category,Industry,Education Level,Language 1,Langue level 1,Langue 2,Language level 2,Language 3,Language level 3,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Duration of Recruiting,Major 1,Major 2,Major 3,Major 4
Unity Game Developer,"Thursday, September 8, 2022","Saturday, October 8, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,IT,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Sales Engineer -Dynamic Technology,"Monday, September 5, 2022","Wednesday, October 5, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,Sales,Trading,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Senior Product Development Officer (1post),"Thursday, September 8, 2022","Saturday, October 8, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
"Senior Auditor, IT Audit","Thursday, August 18, 2022","Saturday, September 17, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,Audit/Taxation,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Solution Architect,"Monday, August 15, 2022","Wednesday, September 14, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
"Executive, Sales Force Effectiveness","Monday, August 15, 2022","Wednesday, September 14, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,Sales,Others,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Project and Network Manager,"Friday, August 19, 2022","Sunday, September 18, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,Management,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,Information Technology,,
"Senior Officer, Database Administration","Friday, August 19, 2022","Sunday, September 18, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,IT,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,IT Engineering,,
"Senior Officer, Software Engineering (Web)","Monday, August 15, 2022","Wednesday, September 14, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Web/App Developer,"Friday, August 26, 2022","Sunday, September 25, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,IT,Food & Beverages,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
PHP Web Developer,"Tuesday, August 16, 2022","Thursday, September 15, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,IT,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,Information Technology,,
"Senior Officer, IT EBS","Tuesday, August 16, 2022","Thursday, September 15, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
"Officer, UX/UI Designer","Tuesday, August 16, 2022","Thursday, September 15, 2022",Medium Skill,2,1,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Full Stack Developer,"Friday, August 12, 2022","Sunday, September 11, 2022",Medium Skill,1,1,,,Male/Female,Age Unlimited,Full-Time,IT,Architecture/Building/Construction,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
