job title,Publish Date,Closing Date,Level,Year of Exp,Hiring,Salary,Sex,Age,Term,Function/Category,Industry,Qualification,Language,Location,Job Requirement
IT training specialists and facilitators,Publish Date：Aug-16-2022,Closing Date：Sep-15-2022,~,~,3,Negotiable,~,Age Unlimited,Full Time,IT,Education,Bachelor Degree,English-- Excellent,Phnom Penh,"III. Job Description ㅇ TermRolling 12 months contract. The contract will be extendable based on satisfactory performance in the preceding contract assessment.ㅇ ResponsibilitiesThe main role of the IT training specialists/facilitators is to guide and assist learners to meet the learning goals and enhance learning performance for AI, machine learning and blockchain skills. - Plan with and lead learners to set and achieve the learning goals- Continuously guide/monitor the learners’ learning progress.- Encourage and support learners for collaboration in training. - Produce written documentation (such as user manuals, guides, and other documentation as required) and maintain computers.- Perform other duties as assigned.ㅇ Essential Qualifications- Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.- Those who have teaching and/or training experience.- Experience with Python programming languages.- Being passionate and enthusiastic about supporting others to grow ..."
Electrical Design Engineer (Junior to Mid-Level),Publish Date：Aug-22-2022,Closing Date：Sep-21-2022,Middle,3,3,$500-$999,~,Age Unlimited,Full Time,Architecture/Engineering,Engineering,Bachelor Degree,English-- Excellent Khmer-- Mother Tongue,Phnom Penh,"Minimum Requirements:• Must be an organized person who can keep data organized from start to finish on a project• Ability to prioritize work on multiple projects and effectively communicate project statuses• Computer proficiency including general Microsoft Office products, design, and business enterprise software• Reasoning skills and ability to solve practical problems• Native Khmer speakers only• Written and spoken English ability at a professional and technical levelPreferred Qualifications:• Degree in Electrical Engineering.• Ability to read and understand engineering drawings/schematics• Working knowledge of MV & LV electrical distribution principles and/or communication equipment construction• Experience with construction modeling software, AutoCAD is beneficial• Familiar with design and checking practices for engineering drawings and deliverables"
"Manager, HR Business Partner",Publish Date：Sep-09-2022,Closing Date：Sep-19-2022,Senior,5,1,>$2000,Male/Female,Age Unlimited,Full Time,Human Resource,Logistics/Freight/Shipping/Delivery/Warehouse,Bachelor Degree,English-- Excellent,Phnom Penh,"Qualification
• Degree or equivalent; preferably in Human Resources Management, Business Administration, or related field

Requirements
• Minimum 5 years’ relevant experience in Human Resources leadership role preferably in international organizations, either in Logistics or Financial Shared Services industry.
• Proven track record in rolling out HR initiatives and thrives in a fast paced, results driven environment.
• Well-versed in local labor ordinance and other HR related regulations (e.g. pension, retirement, occupational health and safety etc.).
• Strong management skills with ability to handle multiple key stakeholders.
• Strong interpersonal and communication skills.
• Strong operational excellence, innovation and continuous improvement mind-set.
• Strong analytic and execution skills with attention to details.
• Must have a good sense of urgency in meeting deadlines with a positive “can-do” attitude.
• Meticulous and a strong team player.
• Proficiency in English and local language (written and sp..."
Assistant to Senior Vice President,Publish Date：Sep-08-2022,Closing Date：Sep-13-2022,Senior,3,1,$200-$500,Male/Female,25 ~ 35,Full Time,Assistant/Secretary,Tourism,Bachelor Degree,English-- Excellent,Phnom Penh,"QUALIFICATIONS Bachelor’s degree in tourism and hospitality management or a related field Good command of communication in English or Chinese is preferred Minimum 3 years’ experience assist the senior management team or sales tasks Displays high confidentiality in all business matters Computer Skills: MS. Office / Email / Internet Positive thinking, high commitment, and flexible attitudeWORKING CONDITIONS Monday to Friday 8:00am-12:00pm, 13:30pm-17:30pm Saturday 8:00am- 3:00pm"
Chief Executive Officer (CEO),Publish Date：Sep-07-2022,Closing Date：Sep-17-2022,Senior,~,~,Negotiable,~,Age Unlimited,Full Time,Management,Advisory/Consultancy,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor's degree in Engineering, Business Administration or equivalent.
• Experience with a minimum of 20 years of related experience.
• Extensive executive-level management experience (10+ years).
• Strong visionary with proven leadership qualities and an entrepreneurial mindset.
• Ability to select, develop and motivate necessary management talent to maintain the company's overall objectives.
• Strong interpersonal skills such as leadership, communication, persuasion, motivation, loyalty, and openness.
• Must be a professional of unquestionable integrity, credibility, and character.
• Can-do attitude."
Purchasing Officer (300$-600$),Publish Date：Sep-09-2022,Closing Date：Sep-18-2022,Middle,~,3,Negotiable,Male/Female,18 ~ 35,Full Time,Others,Electronics/Electrical/Mechanical Equipment,Bachelor Degree,English-- Good,Phnom Penh,"*** Job Requirements
• University students or graduated students.
• Can speak English or Vietnamese.
• Able to use computer clearly (excel skill is a must).

*** Benefits
• Working at a leading retail group in Vietnam
• Professional and strong working environment
• Experienced from experienced staff, full benefits gradually increased
• Annual Teambuilding tourism



*** Contact information 
• Location: Phnom Penh (No.08, Mao Tse Tung Blvd (St 245), Sangkat Tonle Bassac, 
Khan Chamkamon, Phnom Penh, Cambodia.) 
• Private Limited Company
• Staffs: < 300
• Company’s website: https://jobs.bluetronics.com/ 
• Tell: 069 95 10 10 / (HR Department) 
• Company Email: careers@bigphone.com"
Account Assistant,Publish Date：Sep-09-2022,Closing Date：Sep-18-2022,Middle,1,~,Negotiable,Female,Age Unlimited,Full Time,Accounting,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"Bachelor degree
- knowledge of accounts receivable, Administration, and Computer Skill
- 1-3 years accounts receivable and general accounting experience
- Attention to detail and accuracy
- Team member
- Customer service skills
- Good interpersonal skill
- Be reliable, responsible and dependable in fulfilling obligations
- Be honest and ethical
- Able to work under pressure.
** Work Schedule: 8 :00 am - 17: 30 pm Monday- Friday and Saturday 8:00am to 12pm
** Holiday: National holidays

* How to Apply:
For interested candidates, please forward your detailed CV, including a recent photo with a cover letter describing and salary expectation to YOUNG SIA REAL ESTATE (CAMBODIA)
CO., LTD.
** Can apply CV by:
- Tel: 012 617 787 (Telegram)"
Sales Manager,Publish Date：Sep-09-2022,Closing Date：Oct-08-2022,Middle,2,~,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,Electronics/Electrical/Mechanical Equipment,Bachelor Degree,English-- Good Chinese-Mandarin-- Good,Phnom Penh,"• Bachelor’s Degree or higher in Engineer, Sales & Marketing, Business Administration and a related field
• Have Electric Wire knowledge is priority
• At least 2-3 years working experience in sales and able to manage team members
• Obtain leadership skill and able to motivate team member to perform
• Fast and efficient worker, able to work under pressure and highly responsible
• Outstanding organizational and time management skills
• Proactive problem solver with result oriented mind set
• Willing to work hard and flexibility in working hours
• Ability to multitask and prioritize daily workload
• Able to travel to country side short notice and conduct business surveys around the country
• Good attitude and good interpersonal skill
• Good command of spoken and written English. If Chinese is priority

* How to Apply
** Interested candidates are requested to submit CVs and Cover Letter to e-mail: topecelectric@gmail.com
Mr.Sang Sarin
H/P : 069 28 28 72 / 012 49 28 59

*Address : KJKs. Residences, #79-83, St ..."
Sales Local,Publish Date：Sep-06-2022,Closing Date：Oct-05-2022,Middle,1,3,Negotiable,Male/Female,Age Unlimited,Full Time,Logistics/Shipping/Deliver/Warehouse,Logistics/Freight/Shipping/Delivery/Warehouse,Bachelor Degree,English-- Good Chinese-Mandarin-- Good,Phnom Penh,"- At least 1-2 years of work experience with logistics field- Proficient in Microsoft Office, including Excel, Word & PowerPoint, Email and other skills- Fluent and conversational English skill is required- Chinese language speaking is priority- Highly experienced in employee relations/ solving problem- Follow up cargo with clearance team and ensure cargo deliver to customer on time- Others task as per assignedSalary: Negotiable based on your experienceWork Schedule: 8:00 AM ~ 5:00 PM (Only half day working on Saturday)Holiday: Sunday / National HolidaysBenefit: Incentive / Salary Increase / Quarter 3 Months Bonus / Friendly BossApplication Information Interested candidates are invited to send the detailed CVs and cover letters with a current photo (4x6) to hr@pnh.dolphin-gp.com Tel: 010 799 722Only short-listed candidates will be contacted for interview. Comparative package and benefits will be given based on qualifications and experiences."
"Manager, Marketing and Branding ( 1000$-1500$ )",Publish Date：Sep-09-2022,Closing Date：Sep-14-2022,Middle,~,1,Negotiable,Male/Female,Age Unlimited,Full Time,Marketing,Food & Beverages,Bachelor Degree,English-- Good,Phnom Penh,"Bachelor's degree in marketing, finance, business administration, or similar
• A master's degree in a relevant field will be advantageous
• At least three years of experience as a marketing manager or branding manager 
• Extensive knowledge of marketing strategies, channels, and branding
• Experience with online marketing, including social media, and content marketing
• Superb leadership, communication, and collaboration abilities
• Exceptional analytical and problem-solving skills
• Strong time management and organizational abilities

* Competitive and Benefit 

1. Base Salary 1000$-1500$
2. Incentive of KPIs
3. Annual salary adjustment 
4. Incentive of award
5. Incentive of promotion adjustment
6. Allowance Phone 
7. Health and accident insurance
8. Work time 44h/1w (8am-5pm)
9. Holiday and public holiday
10. Training and Development skill
11. Annual trip
12. Annual party 
13. Season party
14. Annual leave 
15. Sick leave 
16. Maternity leave 
17. Special leave 
18. Staff birthday
19. Other benefit 


* ..."
